DOW,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
4,7.5,152,113,1,2,32,33
4,13.02,155,1121,11,27,23,25
4,12.5,152,2233,22,34,49,2
4,9.5,159,133,1,3,35,2
1,9,19,412,4,8,45,9
5,13.83,175,1134,11,24,27,19
4,13.52,155,1511,15,29,25,28
6,23.15,139,735,7,17,67,25
4,12,103,122,1,2,32,2
4,13.17,155,2534,25,37,23,34
4,12.42,96,1632,16,38,17,2
4,11.9,19,1014,10,24,29,19
4,12.5,152,1024,10,22,30,2
4,12.87,139,2221,22,19,72,4
4,13.5,19,1133,11,24,29,9
4,11.42,159,932,9,16,61,33
5,14,124,2221,22,21,73,9
4,14.28,155,1113,11,28,25,19
3,17.22,103,1834,18,42,8,25
3,23.33,103,1834,18,42,8,26
3,21.5,103,1834,18,42,8,26
3,10.33,103,1834,18,42,8,26
3,18.65,103,1834,18,42,8,26
4,14,96,1913,19,46,3,33
4,13.83,152,421,4,7,43,3
3,9,25,234,2,4,41,9
3,21.83,103,1834,18,42,8,26
4,12.75,152,314,3,5,42,3
3,16,103,1834,18,42,8,26
3,16.5,103,1834,18,42,8,26
3,19.33,103,1834,18,42,8,25
4,8,159,1225,12,2,28,33
2,14,139,1915,19,46,3,9
3,9.25,156,1121,11,27,23,25
2,9.5,159,1931,19,1,5,2
4,14.5,155,121,1,42,28,33
4,14,159,1022,10,24,29,7
4,15.17,139,1122,11,28,26,25
4,13,159,123,1,2,32,33
3,18,159,511,5,9,49,7
4,14.83,124,2512,25,36,18,33
7,17,159,1821,18,27,8,7
4,14.25,152,835,8,18,70,3
4,14.5,159,221,2,4,38,19
4,16.5,139,831,8,18,66,33
4,8.18,161,825,8,15,66,33
4,14,139,1911,19,47,5,9
3,21,19,611,6,21,71,9
3,7,124,522,5,34,53,9
4,11.5,124,825,8,15,66,33
4,16,139,623,6,6,69,25
4,15.17,155,1731,17,38,16,19
1,16.5,139,1122,11,28,26,33
4,8.5,139,1223,12,2,28,9
4,13.75,156,1824,18,42,8,25
4,7.85,129,1711,17,39,13,18
4,11.42,139,1133,11,24,27,19
3,9,19,332,3,5,43,2
4,12.67,156,2534,25,27,23,33
3,9,139,334,3,7,43,9
4,14.42,159,513,5,34,49,25
4,12.92,139,631,6,6,44,4
4,14.5,56,1811,18,32,7,8
3,16,124,2424,24,49,1,9
4,14.43,142,323,3,6,69,34
4,15,159,2234,22,34,75,3
4,0.02,139,1811,18,32,7,23
4,15.42,55,1225,12,2,28,8
4,14.42,152,212,2,3,35,2
1,8,139,633,6,6,49,33
4,13.17,159,1633,16,38,15,19
4,15.25,139,623,6,6,69,7
4,14.83,159,2222,22,21,71,7
4,14.98,159,2234,22,34,75,2
3,12,139,1913,19,46,3,9
4,9,19,934,9,20,61,7
3,19,155,914,9,11,34,30
4,15.83,142,1133,11,24,27,19
4,14,19,1032,10,22,30,3
4,12.5,159,121,1,2,28,9
3,16,19,2512,25,29,19,7
3,22,159,2422,24,49,1,33
4,15.92,139,911,9,12,58,2
4,12.5,153,1624,16,38,15,3
4,12,152,513,5,34,49,2
3,13,124,1711,17,39,13,9
5,15.5,96,114,1,42,32,3
4,15,117,234,2,4,41,33
5,8,139,1213,12,27,24,25
3,12,139,133,1,3,35,25
4,12.5,159,121,1,2,28,33
4,14,159,1424,14,32,24,33
4,15.43,129,612,6,21,71,2
4,15.4,159,431,4,7,51,33
6,16.5,124,511,5,9,49,9
4,14.5,143,111,1,42,32,33
4,0.92,163,1224,12,27,28,30
1,20.02,139,1232,12,27,28,9
4,14,159,131,1,2,33,9
3,16,139,1235,12,25,31,25
4,14.5,96,2512,25,36,19,33
3,11,17,2512,25,36,18,33
4,15,159,724,7,16,68,7
4,16,124,1413,14,35,22,7
3,15,152,725,7,15,67,33
4,12.25,19,624,6,6,69,3
4,12.33,155,714,7,15,67,3
4,0,19,831,8,15,66,3
4,8,159,735,7,17,67,23
4,10.5,152,822,8,14,63,33
4,15.77,139,634,6,21,49,19
4,15.42,155,623,6,6,69,3
4,16.27,19,723,7,17,68,3
4,16.83,19,324,3,8,43,7
4,16.38,13,1653,16,41,76,3
3,12.08,152,314,3,5,42,3
4,16.83,139,2413,24,50,2,7
3,10,139,1523,15,28,25,2
4,10,139,711,7,20,68,25
4,13.5,25,1921,19,47,5,2
4,10,159,122,1,2,32,33
