Date,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
03/19/2015 09:10:00 AM,,139,1112,11,27,23,3
03/19/2015 07:55:00 AM,,139,512,5,34,49,3
03/19/2015 09:50:00 AM,,155,1533,15,28,25,19
03/17/2015 11:00:00 AM,,159,1813,18,43,7,33
03/19/2015 07:30:00 AM,,152,1634,16,30,15,3
03/15/2015 07:30:00 AM,,103,114,1,42,32,33
03/17/2015 09:45:00 AM,,153,611,6,18,71,3
03/19/2015 01:10:00 AM,,159,1234,12,25,31,18
03/18/2015 12:20:00 PM,,117,1633,16,38,15,33
01/30/2015 04:57:39 PM,,159,1135,11,2,27,34
03/13/2015 08:15:00 PM,,159,1135,11,28,28,18
03/18/2015 01:00:00 PM,,65,2515,25,37,19,30
03/19/2015 08:00:00 AM,,159,1024,10,24,29,7
03/05/2015 06:35:00 AM,,139,1124,11,2,27,19
03/19/2015 07:56:00 AM,,153,2013,20,48,77,3
03/18/2015 10:15:00 AM,,150,2013,20,48,77,8
03/18/2015 04:00:00 PM,,153,2013,20,48,77,7
03/19/2015 08:45:00 AM,,159,1135,11,2,27,7
03/19/2015 08:00:00 AM,,152,511,5,6,49,3
03/19/2015 10:30:00 AM,,155,1533,15,28,25,19
01/28/2015 08:00:00 AM,,159,412,4,8,48,7
03/14/2015 02:00:00 PM,,19,1432,14,32,22,4
02/01/2015 01:00:00 PM,,141,1111,11,37,23,33
03/19/2015 10:40:00 AM,,155,311,3,20,40,25
02/28/2015 08:00:00 PM,,139,1512,15,29,25,33
03/19/2015 08:40:00 AM,,159,324,3,5,43,25
03/19/2015 07:00:00 AM,,139,831,8,18,66,3
03/09/2015 08:00:00 AM,,139,1135,11,2,27,31
03/19/2015 09:30:00 AM,,152,211,2,2,35,3
03/18/2015 10:20:00 AM,,159,1115,11,28,26,7
03/19/2015 11:00:00 AM,,124,1834,18,42,8,8
03/11/2015 12:00:00 PM,,153,211,2,2,35,3
03/19/2015 10:55:00 AM,,155,1511,15,29,25,3
03/12/2015 12:00:00 PM,,124,1533,15,28,25,33
06/20/2014 09:00:00 AM,,124,1834,18,42,8,9
03/19/2015 11:04:00 AM,,17,2531,25,29,25,19
03/18/2015 03:23:00 PM,,139,2533,25,37,25,9
03/18/2015 02:30:00 PM,,124,2212,22,34,75,9
03/19/2015 10:00:00 AM,,159,532,5,9,53,3
03/15/2015 03:00:00 PM,,19,1115,11,28,26,9
03/19/2015 11:20:00 AM,,155,1122,11,28,26,19
03/18/2015 11:50:00 PM,,159,523,5,34,53,7
03/18/2015 06:30:00 AM,,159,2013,20,48,77,2
03/19/2015 09:45:00 AM,,139,511,5,9,49,7
03/16/2015 11:00:00 AM,,152,423,4,7,46,3
03/18/2015 04:40:00 PM,,155,423,4,7,46,3
03/19/2015 09:50:00 AM,,139,511,5,9,49,7
03/17/2015 09:00:00 PM,,,1533,15,24,25,9
03/13/2015 05:50:00 PM,,156,1432,14,1,22,33
03/17/2015 09:00:00 AM,,152,2525,25,35,22,3
03/19/2015 08:00:00 AM,,140,2525,25,30,22,4
03/19/2015 03:30:00 AM,,159,2525,25,30,20,7
03/18/2015 02:00:00 PM,,139,1711,17,50,13,4
03/14/2015 03:00:00 PM,,19,314,3,20,42,33
03/18/2015 02:30:00 PM,,150,713,7,15,67,33
03/19/2015 10:15:00 AM,,19,2534,25,37,23,28
03/19/2015 11:15:00 AM,,159,311,3,20,40,25
03/18/2015 04:30:00 PM,,64,932,9,16,61,33
03/14/2015 01:00:00 AM,,27,1924,19,44,6,33
03/19/2015 08:30:00 AM,,139,2234,22,34,75,25
03/19/2015 09:51:00 AM,,142,713,7,16,67,33
03/17/2015 11:00:00 AM,,19,2223,22,21,71,3
03/18/2015 08:38:00 AM,,139,623,6,6,44,25
03/19/2015 11:50:00 AM,,17,2222,22,21,71,30
03/19/2015 02:30:00 AM,,159,2513,25,36,25,18
03/19/2015 10:08:00 AM,,95,423,4,10,46,3
03/19/2015 10:15:00 AM,,139,611,6,17,71,4
03/11/2015 05:00:00 PM,,73,632,6,6,44,4
03/16/2015 01:25:00 PM,,155,711,7,20,68,30
03/19/2015 10:20:00 AM,,142,715,7,15,67,33
03/18/2015 03:05:00 PM,,152,1533,15,24,25,3
03/19/2015 11:25:00 AM,,96,912,9,11,59,8
03/19/2015 02:30:00 AM,,27,1832,18,42,8,3
03/19/2015 11:00:00 AM,,19,931,9,20,61,7
03/19/2015 03:00:00 AM,,159,1733,17,33,16,7
03/19/2015 09:00:00 AM,,159,1033,10,12,30,33
03/18/2015 11:00:00 PM,,159,2222,22,21,71,7
03/19/2015 09:45:00 AM,,159,725,7,17,67,33
03/18/2015 10:45:00 AM,,124,111,1,42,32,2
03/18/2015 09:00:00 PM,,139,1633,16,38,15,4
01/29/2015 06:16:44 PM,,139,611,6,21,71,19
03/19/2015 11:27:00 AM,,159,421,4,7,43,25
03/19/2015 12:20:00 PM,,92,1533,15,24,25,8
03/19/2015 11:05:00 AM,,152,821,8,14,57,3
03/18/2015 07:00:00 PM,,129,2512,25,36,18,33
03/19/2015 11:27:00 AM,,139,833,8,13,65,25
03/19/2015 11:00:00 AM,,19,832,8,15,66,3
03/19/2015 11:40:00 AM,,19,2534,25,27,23,3
03/19/2015 09:15:00 AM,,19,1033,10,12,30,3
03/15/2014 09:00:00 AM,,19,1533,15,28,25,9
03/19/2015 10:20:00 AM,,155,1612,16,41,10,3
03/12/2015 01:00:00 PM,,152,933,9,16,61,2
03/18/2015 10:15:00 AM,,152,1612,16,41,10,3
