Time,LocationDescription,Beat,District,Ward,CommunityArea,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,PrimaryType
9,139,1921,19,47,5,0,0,0,0,0,0,1,9
16.5,75,1834,18,42,8,0,1,0,0,0,0,0,9
5.17,159,824,8,14,63,0,0,0,0,1,0,0,18
8,159,1632,16,36,17,0,0,1,0,0,0,0,7
13.5,78,1925,19,44,6,0,0,0,0,0,0,1,33
9,139,414,4,7,43,0,0,0,0,1,0,0,25
7.98,155,1532,15,28,25,0,0,0,0,1,0,0,2
8,159,1811,18,43,7,0,0,0,0,1,0,0,7
0.02,159,1532,15,28,25,0,0,0,0,1,0,0,7
15.5,96,211,2,4,35,0,0,0,0,0,1,0,3
21.58,27,1622,16,45,11,0,0,0,0,0,0,1,17
21.5,159,624,6,6,69,0,0,0,0,0,0,1,33
12,19,631,6,8,44,0,0,1,0,0,0,0,25
13.12,152,621,6,21,44,0,0,0,0,0,0,1,16
8,139,1912,19,47,3,0,0,0,0,0,0,1,9
9.9,49,624,6,6,69,0,0,0,0,1,0,0,33
21,140,1133,11,24,29,0,0,0,0,0,0,1,4
9,139,2223,22,21,71,0,0,0,0,0,0,1,25
9.5,129,2514,25,30,19,0,0,0,0,1,0,0,33
1,77,835,8,18,70,0,0,0,0,1,0,0,7
15.08,153,921,9,12,58,0,0,0,0,0,0,1,2
9.17,139,1112,11,27,23,0,0,0,0,1,0,0,3
7.92,139,512,5,34,49,0,0,0,0,1,0,0,3
9.83,155,1533,15,28,25,0,0,0,0,1,0,0,19
11,159,1813,18,43,7,0,0,0,0,0,1,0,33
7.5,152,1634,16,30,15,0,0,0,0,1,0,0,3
7.5,103,114,1,42,32,0,0,0,1,0,0,0,33
9.75,153,611,6,18,71,0,0,0,0,0,1,0,3
1.17,159,1234,12,25,31,0,0,0,0,1,0,0,18
12.33,117,1633,16,38,15,0,0,0,0,0,0,1,33
16.95,159,1135,11,2,27,1,0,0,0,0,0,0,34
20.25,159,1135,11,28,28,1,0,0,0,0,0,0,18
13,65,2515,25,37,19,0,0,0,0,0,0,1,30
8,159,1024,10,24,29,0,0,0,0,1,0,0,7
6.58,139,1124,11,2,27,0,0,0,0,1,0,0,19
7.93,153,2013,20,48,77,0,0,0,0,1,0,0,3
10.25,150,2013,20,48,77,0,0,0,0,0,0,1,8
16,153,2013,20,48,77,0,0,0,0,0,0,1,7
8.75,159,1135,11,2,27,0,0,0,0,1,0,0,7
8,152,511,5,6,49,0,0,0,0,1,0,0,3
10.5,155,1533,15,28,25,0,0,0,0,1,0,0,19
8,159,412,4,8,48,0,0,0,0,0,0,1,7
14,19,1432,14,32,22,0,0,1,0,0,0,0,4
13,141,1111,11,37,23,0,0,0,1,0,0,0,33
10.67,155,311,3,20,40,0,0,0,0,1,0,0,25
20,139,1512,15,29,25,0,0,1,0,0,0,0,33
8.67,159,324,3,5,43,0,0,0,0,1,0,0,25
